"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"43",1,0,19,21,42,2,22,4,2,2800,3
"44",0,0,28,3,54,1,22,2,1,2500,3
"45",0,0,32,31,51,1,20,4,4,2500,3
"46",1,1,20,23,32,1,16,4,4,2500,3
"47",0,0,70,57,34,1,4,2,2,2300,3
"48",1,0,6,54,53,2,20,3,4,2100,3
"49",1,1,2,10,57,2,16,3,4,2000,3
"50",1,0,4,47,56,2,20,5,5,2000,2
"51",1,0,21,52,53,1,20,3,4,2000,3
"52",1,0,12,31,45,1,16,4,5,2000,4
"53",1,0,8,63,30,2,20,5,5,2000,3
"54",1,0,24,70,20,1,20,3,3,2000,3
"55",1,0,17,68,25,1,16,2,5,1800,3
"56",1,1,2,62,46,2,20,3,3,1500,3
"57",1,1,67,68,46,2,12,4,4,1500,3
"58",1,0,41,69,38,2,16,4,5,1500,7
"59",1,0,42,66,36,2,12,5,5,1500,3
"60",0,1,63,8,27,2,20,3,3,1500,3
"61",0,0,68,26,29,2,15,4,2,1400,6
"62",0,1,4,1,24,1,16,4,5,1400,2
"63",1,0,44,56,28,2,15,3,2,1300,3
"64",1,0,4,63,24,2,16,4,4,1300,3
"65",0,1,26,25,51,1,16,4,4,1200,3
"66",1,1,67,69,31,1,16,4,4,1000,3
"67",1,1,12,68,22,1,22,3,2,1000,3
"68",1,1,38,51,63,2,9,5,4,998,3
"69",0,0,46,9,49,2,15,3,3,998,3
"70",0,1,44,20,46,1,10,3,1,998,6
"71",1,1,15,18,32,1,15,3,5,998,2
"72",1,1,68,69,62,1,10,4,3,980,7
"73",0,1,31,15,22,1,7,3,2,800,3
"74",0,0,67,30,53,2,9,2,3,400,7
"75",1,0,60,69,36,2,3,3,3,300,3
"76",1,0,47,53,61,2,9,4,4,200,3
"77",0,1,63,39,25,2,21,4,4,1500,7
"78",0,0,54,37,30,2,16,3,4,1300,4
"79",0,0,9,6,71,2,16,3,5,1780,2
"80",1,0,19,52,42,1,16,4,4,1200,2
"81",0,0,70,23,27,2,13,3,4,244,4
"82",0,0,19,4,32,2,16,4,4,650,4
"83",0,0,43,25,42,2,9,4,3,300,4
"84",1,1,9,45,31,2,12,4,4,998,4
"85",0,1,65,56.9377422517015,33,2,10,3,2,1500,4
"86",0,1,23,18.2041684766873,18,2,16,2,3,600,7
"87",1,0,8,26,58,2,18.5,3,5,1200,7
"88",1,1,33,36,24,3,14,5,5,250,2
"89",0,0,61,57,67,1,15,1,3,4000,7
"90",0,0,35,2,49,1,26,1,1,25000,7
"91",0,0,46,27,70,1,16,4,4,6000,7
"92",0,0,45,34,45,1,20,2,4,2300,1
"93",0,1,39,1,44,1,20,3,4,5000,7
"94",1,0,30,59,40,1,16,3,4,5000,4
"95",1,1,55,60,43,2,10,4,4,200,4
"96",1,1,30,58,20,2,16,2,3,600,7
"97",0,1,34,26,65,1,12,4,4,998,4
"98",1,1,1,58,58,1,20,4,4,11000,3
"99",1,1,55,63,39,1,16,2,4,4000,3
"100",1,1,25,47,19,1,16,4,4,2000,3
"101",1,1,18,63,21,1,17,3,4,1500,3
"102",0,0,53,45,30,1,16,3,4,1433,3
"103",0,0,22,21,40,1,16,4,5,2500,3
"104",1,1,50,51,24,1,16,4,4,2500,3
"105",1,1,19,53,26,1,20,4,4,15000,7
"106",1,0,13,62,52,1,12,4,4,3800,3
"107",1,1,51,54,53,2,16,3,4,1000,3
"108",1,0,26,35,28,2,20,3,4,1300,2
"109",1,1,63,67,45,1,16,3,5,3500,2
"110",1,0,3,61,46,1,20,3,4,2300,6
"111",1,0,16,44,33,1,16,4,5,900,7
"112",1,1,20,43,26,2,17.5,3,4,900,7
"113",1,0,7,47,54,2,20,4,5,2000,7
"114",0,0,60,52,33,2,16,4,4,1200,4
"115",1,0,15,40,53,1,16,4,5,998,2
"116",0,0,25,6,40,2,16,3,4,1000,2
"117",0,1,57,53,28,1,11,4,4,1000,2
"118",1,0,2,25,40,2,10,4,4,1000,4
