ID;parque;idade;sexo;cidade;estadocivil;escolar;ocupacao;renda;qdepend;objetivo;freqvis;infraestrutura;tamanho;sombra;temperatura;lance1;resp1;lance2;resp2;bidl;bidh
161;13demaio;36;2;recife;2;16;6;1500;1;4;12;3;5;3;3;24;0;13;0;13;56
162;13demaio;64;2;Lamim - MG;2;16;3;998;1;2;2;4;5;5;4;25;0;21;0;21;21
163;13demaio;28;2;recife;4;11;0;91;1;2;15;4;5;5;5;63;0;33;0;33;22
164;13demaio;42;1;recife;2;8;2;1100;3;4;2;5;5;4;4;38;1;64;1;6;64
165;13demaio;46;2;olinda;1;8;7;500;0;2;1;4;4;5;5;65;1;66;0;8;66
166;13demaio;38;1;recife;2;12;2;998;2;2;1;5;4;4;4;47;0;22;0;22;41
167;13demaio;42;1;recife;1;16;0;700;0;7;20;4;4;4;4;69;1;70;1;8;70
168;13demaio;63;1;paulista;2;12;2;600;1;7;30;4;4;4;4;33;1;48;1;6;48
169;13demaio;54;2;recife;2;20;1;3000;2;2;1;3;5;4;3;37;1;66;1;6;66
170;13demaio;20;1;recife;1;16;1;250;0;2;5;5;5;5;3;8;0;2;0;2;26
171;13demaio;20;1;olinda;1;16;7;1200;0;2;1;3;4;5;4;33;1;35;0;6;35
172;13demaio;33;1;joao pessoa;2;16;6;1500;3;4;1;3;4;4;3;21;1;40;1;5;40
173;13demaio;30;2;recife;1;10;7;253;5;7;1;4;5;3;3;54;0;26;1;26;16
174;13demaio;31;1;recife;1;16;3;998;0;7;3;4;4;4;5;39;1;68;1;6;68
175;13demaio;31;1;olinda;1;20;7;1000;0;7;4;3;4;4;3;22;1;31;0;5;31
176;13demaio;34;1;recife;1;22;5;3000;0;7;4;3;4;1;3;7;0;4;0;4;44
177;13demaio;65;1;olinda;3;20;1;15000;2;7;6;3;5;5;4;20;1;67;1;4;67
178;13demaio;54;2;recife;3;16;1;998;2;7;6;3;5;5;4;60;0;49;0;49;13
179;13demaio;23;1;paulista;2;17;6;1000;0;3;6;3;5;5;5;44;1;61;1;7;61
180;13demaio;28;2;recife;2;16;2;1300;0;3;20;3;5;5;5;12;1;25;1;3;25
181;13demaio;52;1;recife;2;16;2;2000;1;2;15;3;4;4;5;50;0;32;0;32;7
182;13demaio;21;2;recife;1;6;5;1500;0;7;1;3;3;2;2;39;0;9;0;9;0
183;13demaio;40;1;recife;1;16;1;998;3;4;1;4;5;5;4;20;0;3;0;3;44
184;13demaio;28;2;recife;1;16;0;998;1;4;2;4;5;5;4;51;0;45;0;45;30
185;13demaio;51;1;recife;1;16;3;2300;1;7;3;3;5;5;5;2;1;23;1;1;23
186;13demaio;21;2;recife;1;18;2;1075;0;2;1;3;5;5;5;13;1;18;1;4;18
187;13demaio;34;1;olinda;1;18;6;2000;1;4;2;4;5;5;5;25;1;57;1;5;57
188;13demaio;32;2;olinda;1;14;5;370;1;2;3;3;5;5;5;48;1;67;0;7;67
189;13demaio;71;1;olinda;1;12;1;2000;0;2;3;3;4;4;4;21;0;13;0;13;35
190;13demaio;28;2;olinda;1;16;2;1225;0;2;1;4;5;5;4;23;1;44;0;5;44
191;13demaio;45;1;recife;1;20;2;2000;1;6;4;2;4;4;4;44;1;64;0;7;64
192;13demaio;40;1;abreu e Lima;2;9;2;1800;0;2;2;4;4;5;4;51;0;9;0;9;10
193;13demaio;19;2;recife;1;21;5;700;0;7;1;3;4;3;3;16;0;11;0;11;10
194;13demaio;25;1;olinda;1;10;6;1000;0;4;3;3;5;5;5;20;1;61;1;4;61
195;13demaio;42;1;paulista;2;20;7;2000;0;7;2;1;4;1;4;25;0;1;0;1;0
196;13demaio;47;1;recife;1;20;6;2000;0;7;30;2;4;1;4;15;1;48;1;4;48
197;13demaio;56;1;recife;3;16;6;1500;0;7;20;3;5;3;3;20;1;28;1;4;28
198;13demaio;38;1;olinda;1;20;6;1700;7;0;30;3;4;4;4;10;1;63;1;3;63
199;13demaio;34;1;jaboatao;2;17;2;1200;2;7;12;1;4;3;2;64;1;68;1;8;68
200;13demaio;25;1;jaboatao;1;19;5;700;0;2;1;3;4;5;4;50;0;34;0;34;20
201;13demaio;32;2;recife;1;16;2;1300;3;2;1;1;1;4;1;28;0;25;1;25;41
202;13demaio;31;1;recife;2;16;1;998;1;2;2;4;5;3;4;68;0;31;0;31;53
203;13demaio;46;2;olinda;2;13;6;2500;0;7;1;3;5;5;4;3;1;56;0;2;56
204;13demaio;50;1;olinda;;10;6;2500;0;7;1;3;5;5;4;25;1;66;1;5;66
205;13demaio;32;1;olinda;2;16;1;1400;1;2;4;4;4;3;4;40;0;10;0;10;7
206;13demaio;31;1;recife;2;16;2;998;0;2;1;3;5;5;5;64;1;67;1;8;67
207;13demaio;34;2;recife;2;16;2;900;0;2;1;3;5;5;5;30;1;70;1;5;70
208;13demaio;60;1;recife;2;16;3;998;2;2;3;3;4;4;4;55;0;29;0;29;9
209;13demaio;27;1;olinda;1;16;2;2000;0;2;1;4;5;5;4;13;1;69;0;4;69
210;13demaio;35;2;abreu e Lima;2;16;6;350;1;7;25;5;4;5;5;65;1;66;1;8;66
211;13demaio;35;1;abreu e Lima;2;16;2;998;2;4;2;3;4;4;3;45;1;47;1;7;47
212;13demaio;56;2;abreu e Lima;1;11;2;1200;2;2;1;3;5;5;5;12;1;68;0;3;68
213;13demaio;52;1;planalto - BA;1;12;2;2700;0;2;2;3;5;5;5;36;0;6;0;6;33
214;13demaio;45;1;recife;2;10;6;1000;0;2;15;5;5;5;5;17;1;22;1;4;22
215;santosdumont;34;2;recife;2;16;2;1800;1;4;3;4;5;4;5;26;1;64;0;5;64
216;santosdumont;30;2;recife;1;20;6;2500;0;3;25;4;4;3;3;15;1;57;0;4;57
217;santosdumont;33;2;recife;2;16;6;600;1;4;24;3;5;3;3;10;1;47;1;3;47
218;santosdumont;42;2;recife;2;20;1;5000;1;4;8;5;5;4;4;9;1;63;0;3;63
219;santosdumont;48;2;recife;2;16;4;5000;2;4;4;4;5;4;4;31;1;67;0;6;67
220;santosdumont;24;1;recife;1;16;2;2900;1;3;2;5;5;4;4;33;1;63;0;6;63
221;santosdumont;41;1;recife;2;20;1;10000;2;4;1;4;4;4;4;11;1;19;1;3;19
222;santosdumont;73;1;recife;4;16;3;1800;2;4;4;5;5;4;4;53;0;24;0;24;30
223;santosdumont;28;1;recife;1;16;6;6000;1;1;4;5;5;5;5;37;1;62;0;6;62
224;santosdumont;34;2;recife;2;20;1;8000;2;4;1;4;5;4;4;27;1;44;1;5;44
225;santosdumont;20;1;recife;1;16;2;500;0;3;16;5;5;3;4;11;1;56;1;3;56
226;santosdumont;34;2;recife;2;15;4;1000;2;4;8;4;4;5;4;7;1;58;1;3;58
