"";"parque";"idade";"sexo";"cidade";"escolar";"renda";"infraestrutura";"sombra";"temperatura";"lance1";"lance2";"resp1";"resp2";"bidl";"bidh";"lnRendat1";"lnRendat2";"lnRenda"
"139";"13demaio";71;1;"olinda";0;1000;1;1;1;51;26;"0";"0";26;9,64575131106459;6,90780627768168;6,90778127864414;3
"140";"13demaio";45;1;"recife";0;998;0;1;0;4;2;"0";"0";2;40;6,90575729235153;6,90575528433351;2,99913054128737
"141";"13demaio";38;1;"recife";0;1000;1;1;1;23;8;"0";"0";8;49,557438524302;6,90777827871764;6,90776327895014;3
"142";"13demaio";50;1;"recife";0;998;0;1;1;16;5;"0";"0";5;25,5825756949558;6,90576934037495;6,90575829635902;2,99913054128737
"143";"13demaio";27;1;"recife";0;998;0;1;1;28;27;"0";"0";27;8,44948974278318;6,90578138825322;6,90578038426891;2,99913054128737
"144";"13demaio";30;1;"recife";0;1500;0;1;1;57;62;"1";"1";7,54983443527075;62;7,31324572010275;7,31324794226621;3,17609125905568
"145";"13demaio";59;1;"recife";0;998;1;1;0;56;62;"1";"1";7,48331477354788;62;6,90580949940471;6,90581552312008;2,99913054128737
"146";"13demaio";40;0;"recife";0;998;1;1;1;51;68;"1";"1";7,14142842854285;68;6,90580447961419;6,90582154679916;2,99913054128737
"147";"13demaio";26;1;"camaragibe";0;1080;1;1;1;18;59;"1";"0";4,24264068711928;59;6,98473175209796;6,98476690182939;3,03342375548695
"148";"13demaio";22;0;"recife";0;384;0;1;0;53;59;"1";"0";7,28010988928052;59;5,95100191726198;5,95104259191896;2,58433122436753
"149";"13demaio";58;0;"paulista";0;170;0;1;0;38;51;"1";"0";6,16441400296898;51;5,13711245224677;5,13756158766864;2,23044892137827
"150";"13demaio";48;0;"recife";0;200;0;0;1;50;65;"1";"1";7,07106781186548;65;5,29956658594847;5,29994104766413;2,30102999566398
"151";"13demaio";34;1;"recife";0;1000;1;1;1;48;68;"1";"1";6,92820323027551;68;6,90780327783017;6,90782327667024;3
"152";"13demaio";26;1;"recife";0;15000;1;0;1;33;34;"1";"1";5,74456264653803;34;9,615805626751;9,61580563119545;4,17609125905568
"153";"13demaio";55;1;"recife";0;1300;1;1;1;48;56;"1";"1";6,92820323027551;56;7,17014794541315;7,17015267899531;3,11394335230684
"154";"13demaio";28;1;"recife";0;400;1;1;1;37;19;"0";"0";19;56;5,99169577037382;5,99158329005776;2,60205999132796
"155";"13demaio";34;0;"recife";0;998;1;1;1;12;22;"1";"0";3,46410161513775;22;6,90576532438327;6,90577536433223;2,99913054128737
"156";"13demaio";41;1;"paulista";0;1000;0;1;1;44;22;"0";"0";22;34,3851648071345;6,90779927801417;6,90777727874014;3
"157";"13demaio";40;1;"recife";0;91;1;1;0;16;60;"1";"0";4;60;4,51278977614743;4,51807888572476;1,95904139232109
"158";"13demaio";57;0;"recife";1;2500;0;1;0;10;13;"1";"0";3,16227766016838;13;7,82404761085501;7,82404809085413;3,39794000867204
"159";"13demaio";53;0;"recife";1;5000;0;1;0;12;20;"1";"0";3,46410161513775;20;8,51719367141612;8,51719399141592;3,69897000433602
"160";"13demaio";36;0;"escada";0;1000;0;1;0;3;31;"1";"0";1,73205080756888;31;6,90775827897764;6,90778627850165;3
"161";"13demaio";36;0;"recife";0;1500;0;0;0;24;13;"0";"0";13;56;7,31323105370008;7,31322616485139;3,17609125905568
"162";"13demaio";64;0;"Lamim - MG";0;998;1;1;1;25;21;"0";"0";21;21,1231056256177;6,90577837629726;6,90577436034187;2,99913054128737
"163";"13demaio";28;0;"recife";0;91;1;1;1;63;33;"0";"0";33;22,2426406871193;4,51843849016376;4,51483661329573;1,95904139232109
"164";"13demaio";42;1;"recife";0;1100;1;1;1;38;64;"1";"1";6,16441400296898;64;7,00309686325201;7,00311834994968;3,04139268515822
"165";"13demaio";46;0;"olinda";0;500;1;1;1;65;66;"1";"0";8,06225774829855;66;6,21486806462805;6,21487206358032;2,69897000433602
"166";"13demaio";38;1;"recife";0;998;1;1;1;47;22;"0";"0";22;41;6,90580046376363;6,90577536433223;2,99913054128737
"167";"13demaio";42;1;"recife";0;700;1;1;1;69;70;"1";"1";8,30662386291807;70;6,55122114145625;6,55122318198315;2,84509804001426
"168";"13demaio";63;1;"paulista";0;600;1;1;1;33;48;"1";"1";5,74456264653803;48;6,39702131768168;6,39706297966138;2,77815125038364
"169";"13demaio";54;0;"recife";1;3000;0;1;0;37;66;"1";"1";6,08276253029822;66;8,00637167875291;8,00637490095669;3,47712125471966
"170";"13demaio";20;1;"recife";0;250;1;1;0;8;2;"0";"0";2;26;5,52158890967095;5,52149291735026;2,39794000867204
"171";"13demaio";20;1;"olinda";0;1200;0;1;1;33;35;"1";"0";5,74456264653803;35;7,09009975218018;7,09010114103627;3,07918124604762
"172";"13demaio";33;1;"joao pessoa";0;1500;0;1;0;21;40;"1";"1";4,58257569495584;40;7,31322972038008;7,31323816471006;3,17609125905568
"173";"13demaio";30;0;"recife";0;253;1;0;0;54;26;"0";"1";26;16;5,53423276443494;5,53379559913265;2,40312052117582
"174";"13demaio";31;1;"recife";0;998;1;1;1;39;68;"1";"1";6,2449979983984;68;6,90579243201412;6,90582154679916;2,99913054128737
"175";"13demaio";31;1;"olinda";1;1000;0;1;0;22;31;"1";"0";4,69041575982343;31;6,90777727874014;6,90778627850165;3
"176";"13demaio";34;1;"recife";1;3000;0;0;0;7;4;"0";"0";4;44;8,00636834542772;8,00636801209459;3,47712125471966
"177";"13demaio";65;1;"olinda";1;15000;0;1;1;20;67;"1";"1";4,47213595499958;67;9,61580556897323;9,61580577786208;4,17609125905568
"178";"13demaio";54;0;"recife";0;998;0;1;1;60;49;"0";"0";49;13,1622776601684;6,90581351521899;6,90580247169092;2,99913054128737
"179";"13demaio";23;1;"paulista";0;1000;0;1;1;44;61;"1";"1";6,6332495807108;61;6,90779927801417;6,90781627712171;3
"180";"13demaio";28;0;"recife";0;1300;0;1;1;12;25;"1";"1";3,46410161513775;25;7,17012664401614;7,17013433623962;3,11394335230684
"181";"13demaio";52;1;"recife";0;2000;0;1;1;50;32;"0";"0";32;7,23606797749979;7,60091495946396;7,60091045951008;3,30102999566398
"182";"13demaio";21;0;"recife";0;1500;0;0;0;39;9;"0";"0";9;0;7,31323772027341;7,3132243870823;3,17609125905568
"183";"13demaio";40;1;"recife";0;998;1;1;1;20;3;"0";"0";3;44,164414002969;6,9057733563505;6,90575628834302;2,99913054128737
"184";"13demaio";28;0;"recife";0;998;1;1;1;51;45;"0";"0";45;30;6,90580447961419;6,9057984558323;2,99913054128737
"185";"13demaio";51;1;"recife";0;2300;0;1;1;2;23;"1";"1";1,4142135623731;23;7,740664779989;7,74066874973388;3,36172783601759
"186";"13demaio";21;0;"recife";0;1075;0;1;1;13;18;"1";"1";3,60555127546399;18;6,98008718982245;6,98009151642748;3,03140846425162
"187";"13demaio";34;1;"olinda";0;2000;1;1;1;25;57;"1";"1";5;57;7,60090870952255;7,60091670944055;3,30102999566398
"188";"13demaio";32;0;"olinda";0;370;0;1;1;48;67;"1";"0";6,92820323027551;67;5,91385356507629;5,91399229424432;2,56820172406699
"189";"13demaio";71;1;"olinda";0;2000;0;1;1;21;13;"0";"0";13;35,4772255750517;7,6009077095283;7,6009057095368;3,30102999566398
